"","date","vw_cum","ew_cum","vw_ret","ew_ret"
"1",2012-12-31,1,1,NA,NA
"2",2013-01-02,1.0252713665141,1.0253647774808,0.0252713665140987,0.0253647774807966
"3",2013-01-03,1.02321108394688,1.02487746303731,-0.00200949976221554,-0.000475259589747812
"4",2013-01-04,1.01977730900654,1.02287169196709,-0.00335588129782238,-0.00195708379055703
"5",2013-01-07,1.02977035322783,1.03920839618024,0.00979924159229073,0.0159714110200169
"6",2013-01-08,1.02597074783085,1.03435809862286,-0.00368975994023135,-0.00466730020196959
"7",2013-01-09,1.02405539743646,1.03286283238628,-0.00186686647590928,-0.00144559823002155
"8",2013-01-10,1.0245650065655,1.03231142068834,0.000497638243317278,-0.000533867306138247
"9",2013-01-11,1.03351410287409,1.0415914951585,0.00873453246132705,0.00898960748101851
"10",2013-01-14,1.03391015888159,1.04636146084867,0.000383212968642299,0.00457949754038212
"11",2013-01-15,1.03235211289596,1.04439391888481,-0.00150694523334205,-0.00188036547356873
"12",2013-01-16,1.02854702584585,1.03870950612765,-0.00368584226503454,-0.00544278615030214
"13",2013-01-17,1.03430472304167,1.04456565815808,0.00559789397192811,0.00563791126959567
"14",2013-01-18,1.03936912078065,1.0499745850609,0.00489642716131544,0.0051781588458093
"15",2013-01-22,1.0421830593044,1.05033059129989,0.00270735243859344,0.00033906176783649
"16",2013-01-23,1.06874319067319,1.06873795585683,0.0254850922126113,0.0175253055651321
"17",2013-01-24,1.07512789657535,1.07861783070264,0.0059740318889312,0.00924443152006327
"18",2013-01-25,1.09158023565139,1.10104042869009,0.015302680851691,0.0207882693473043
"19",2013-01-28,1.08043734799689,1.08509104322704,-0.0102080335375893,-0.0144857400758917
"20",2013-01-29,1.05520564832396,1.05113126861154,-0.023353227949506,-0.031296705311017
"21",2013-01-30,1.07109196952412,1.0748733129728,0.0150551896925393,0.0225871354703608
"22",2013-01-31,1.05950756795769,1.05922907687327,-0.0108155059472418,-0.0145544929906753
"23",2013-02-01,1.06600490070314,1.06374025315775,0.00613240805629944,0.00425892413923101
"24",2013-02-04,1.05431844980621,1.05010660149806,-0.0109628491287658,-0.0128167112405631
"25",2013-02-05,1.06047784628859,1.06126853111358,0.00584206459017689,0.010629330012397
"26",2013-02-06,1.05086444072981,1.04954932040316,-0.00906516396586821,-0.0110426441252506
"27",2013-02-07,1.04372960672693,1.04222792237853,-0.00678949037225507,-0.00697575414733032
"28",2013-02-08,1.05274914281574,1.05074137686503,0.00864164054624394,0.00816851506633198
"29",2013-02-11,1.04098573845614,1.03730983633479,-0.0111739861674284,-0.0127829176864793
"30",2013-02-12,1.04263800083041,1.03996499125638,0.00158720942393709,0.00255965462640906
"31",2013-02-13,1.05771952160141,1.0615612305683,0.0144647718182074,0.0207663137639162
"32",2013-02-14,1.05589565684183,1.05994954276004,-0.00172433686088569,-0.00151822406645352
"33",2013-02-15,1.05470111747741,1.05516468009042,-0.00113130436391973,-0.00451423626936021
"34",2013-02-19,1.05889419572733,1.06272220525947,0.00397560804709141,0.00716241294998388
"35",2013-02-20,1.05081421204598,1.05341791066072,-0.00763058643058956,-0.00875515214860656
"36",2013-02-21,1.04681020138163,1.04991229256879,-0.00381038876182815,-0.00332785123211976
"37",2013-02-22,1.05553422781574,1.05611063341245,0.00833391423067908,0.00590367489506494
"38",2013-02-25,1.03560089012852,1.03566504888388,-0.0188845962186061,-0.0193593207773129
"39",2013-02-26,1.04047208135948,1.03892115247288,0.00470373410971714,0.00314397361628282
"40",2013-02-27,1.05677295058734,1.05503610131703,0.0156668011760281,0.0155112337503116
"41",2013-02-28,1.05305258612902,1.05313715404742,-0.00352049553903744,-0.00179988842774048
"42",2013-03-01,1.06220482350917,1.06151914853887,0.00869114942662863,0.00795907205366131
"43",2013-03-04,1.08020976923697,1.08218453064085,0.0169505403565378,0.019467743121184
"44",2013-03-05,1.08822828612211,1.0906398236824,0.00742311087484482,0.00781317123111136
